file	sha256	rows	note
soc.culture.esperanto.mbox	4cc041bb6ddd	69804	RAW/usenet input; 69,804 Usenet messages
extracted.tsv	531f105c1066	47513	Esperanto messages: score>=0.70, >=10 tokens; quote/sig-stripped text/plain bodies; 8726 x-system-folded; LICENCE-HOLD: do not promote to CORPUS without a ruling
