slug	name	country	first	last	complete
bulteno_de_appk	Bulteno de A.P.P.K.	Belgio	1929	1929	no
bulteno_de_asocio_de_verduloj_esperantistaj_ave_hispanio	Bulteno de Asocio de Verduloj Esperantistaj (AVE)- Hispanio	Hispanio			no
bulteno_de_austria_esperantista_federacio	Bulteno de Aŭstria Esperantista Federacio	Aŭstrio	1936	1946	no
bulteno_de_barcelona_stelo	Bulteno de Barcelona Stelo	Hispanio	1912	1914	no
bulteno_de_iga	Bulteno de IGA	Slovenio			no
bulteno_de_ilei	Bulteno de I.L.E.I.	Brazilo			no
bulteno_de_internacia_labor_oficejo	Bulteno de Internacia Labor-Oficejo	Svislando	1923	1932	no
bulteno_de_la_sovetlanda_esperantista_unio_rusa	Bulteno de la Sovetlanda Esperantista Unio (Rus/Eo)	Rusio	1926	1928	no
bulteno_de_libera_penso	Bulteno de Libera Penso	Francio	1908	1914	no
bulteno_de_reu	Bulteno de REU	Rusio	1995	2000	no
bulteno_de_sovetlanda_esperantista_unio	Bulteno de Sovetlanda Esperantista Unio	Rusio	1927	1933	no
bulteno_eld_esperantista_klubo_brno_cscz_1976_1978	Bulteno. Eld. Esperantista Klubo. Brno (CS/CZ), 1976-1978	Ĉeĥio	1976	1978	no
bulteno_gepatra	Bulteno Gepatra	Germanio	1948	1963	no
bulteno_jogo_en_esperanto	Bulteno. Jogo en Esperanto	Danio	1994	1994	no
bulteno_praha	Bulteno de Esperantista Klubo en Praha	Ĉeĥio	2014	Nuntempe	no
bultenodereu_ponto	Bulteno de REU / Ponto	Rusio	1995	2000	no
bultenogefa	Bulteno (Germana Esperanta Fervojista Asocio)	Germanio	1952	1989	no
bultenoisae	Bulteno de ISAE	Bosnio	1927	1991	no
bultenolondona	Bulteno (Londona eldono)	Britio	1960	2006	no
bultenomadridaesperantoklubo	Bulteno de Madrida Esperanto-Klubo	Hispanio	1955		no
bultenoteks	Bulteno de TEKS	Rusio	1911	1914	no
cahiers_de_gresillon_les	Cahiers de Grésillon, Les	Francio	1958	1958	no
centramerikaesperantisto	Centramerika Esperantisto	Gvatemalo	1906	1906	no
cerbe_kaj_kore	Cerbe kaj kore	Rusio	1990	2000	no
chae_vestnik_bulteno	ĈAE. Vestnik. Bulteno	Ĉeĥio	1929	1929	no
chehhoslovaka_gazeto	Ĉeĥoslovaka Gazeto	Ĉeĥio	1921	1923	no
chielarka_standardo	Ĉielarka Standardo	Pollando	1936	1937	no
chiesrevuino	Ĉies-revuino	Hispanio	1985	1985	no
china_fervojisto	Ĉina Fervojisto	Ĉinio			no
circular	Circular	Hispanio	1964	1967	no
cirkulero_esperanto_vereinigung_deutscher_lehrer_evdl	Cirkulero. Esperanto-Vereinigung Deutscher Lehrer (EVDL)	Germanio	1964	1972	no
cirkulero_svisa	Svisa Esperanto-Societo Cirkulero	Svislando	1927	1930	no
citta_nuova_nova_urbo	Cittá Nuova. [Nova Urbo]	Italio	1961	1961	no
concorde	Concorde	Francio	1963	1976	no
dana_fervojisto	Dana Fervojisto	Danio	1993	2007	no
danaesperantisto	Dana Esperanto-Bulteno. Dansk Esperanto-Blad	Danio	1967	1972	no
danlando	Danlando	Danio	1912	1913	no
dansk_esperanto_blad	Dansk Esperanto Blad	Danio	1928	1961	no
dansk_esperanto_tidende	Dansk Esperanto-Tidende	Danio	1939	1943	no
defa_bulteno	DEFA-Bulteno	Danio	1948	1962	no
dia_regno	Dia Regno	Germanio	1908	1998	no
dialogo	Dialogo	Brazilo	1975		no
dio_benu	Dio Benu	Ĉeĥio	1991	2005	no
diskutkajeroj_uea	Diskutkajeroj (UEA)	Nederlando	1998		no
eab_updateghisdate	EAB-Update/Ĝisdate	Britio			no
ehho	Eĥo	Danio	1972	1991	no
eko_esperiga_komuniko	Esperiga/Estrara Komuniko (EKO)	Nederlando			no
ekonomia_egaleco	Ekonomia Egaleco	Nederlando	1947	1954	no
eksportjhurnalo	Eksport-Ĵurnalo	Germanio	1907	1907	no
eksterrete	Eksterrete	Belgio			no
ekumenismo	Ekumenismo	Italio	1985	2000	no
el_correo_del_esperanto	El Correo del Esperanto	Hispanio			no
el_japana_lando_kaj_popolo	El japana lando kaj popolo	Japanio	1953	1953	no
el_popola_chinio	El Popola Ĉinio	Ĉinio	1950	2008	no
elbutlletiesperantosabadell	El Butlletí de l’Esperanto	Hispanio	1984	2000	no
elliberecanavidpunkto	El Liberecana Vidpunkto	Hispanio			no
enigmo	Enigmo	Francio	1990	1993	no
esperanta_abelo	Esperanta Abelo	Italio	1907	1912	no
esperanta_finnlando	Esperanta Finnlando	Finnlando	1965	1976	no
esperanta_psikistaro	Esperanta Psikistaro	Belgio	1910	1911	no
esperanta_turisto	Esperanta Turisto	Slovenio	1939	1969	no
esperantafajrero	Esperanta Fajrero	Bulgario	1985	1991	no
esperantaligilo	Esperanto Ligilo	Ukrainio			no
esperantanumismatiko	Esperanta Numismatiko	Belgio	2014		yes
esperantarubriko	Esperanta Rubriko	Hispanio	1910	1911	no
esperantic_studies	Esperantic Studies	Kanado	1991	2005	no
esperantist_de	Esperantist, De	Belgio	1948	1969	no
esperantist_der	Esperantist, Der	Germanio	1930	1931	no
esperantista	Esperantista	Ĉeĥio	1946	1951	no
esperantista_junularo	Esperantista Junularo	Ĉeĥio	1920	1924	no
esperantista_marsejlano	Esperantista Marsejlano	Francio	1995	1995	no
esperantista_movado	Esperantista Movado	Rusio	1920	1921	no
esperantista_poshkalendaro	Esperantista Poŝkalendaro	Germanio	1908	1910	no
esperantistavegetarano	Esperantista Vegetarano	Slovakio	1993	2007	no
esperantistder	Der Esperantist	Germanio	1965	1990	yes
esperantiste_catholique_l	Espérantiste Catholique L’	Francio	1910	1915	no
esperantisten_verbandes	* Landesleitung Steiermark des Österr. Esperantisten-Verbandes =	Aŭstrio	1949	1951	no
esperantisto_chinio	Esperantisto (Ĉinio)	Ĉinio	1987	2008	no
esperantistoslovaka	Esperantisto Slovaka	Slovakio	1946	2007	no
esperanto-uea	Esperanto (UEA)	Nederlando	1905	Nuntempe	no
esperanto_94_la_verda_stelo	Esperanto-94. La Verda Stelo	Francio			no
esperanto_95	Esperanto-95	Francio	1989	1995	no
esperanto_airut_esperanto_heroldo	Esperanto-Airut (Esperanto-Heroldo)	Finnlando	1945	1946	no
esperanto_aktuala	Esperanto Aktuala	Belgio	1977	1994	no
esperanto_aktuell	Esperanto-Aktuell	Germanio	1970	Nuntempe	no
esperanto_and_the_un	Esperanto and the UN	Usono			no
esperanto_au_plateau	Esperanto au Plateau	Belgio			no
esperanto_bulteno_de_pollando	Esperanto-Bulteno de Pollando	Pollando	1945	1946	no
esperanto_dokumentoj	Esperanto-Dokumentoj	Nederlando	1976	1988	no
esperanto_en_azio_kaj_oceanio	Esperanto en Azio kaj Oceanio	Japanio	1990	2006	no
esperanto_en_bavario	Esperanto en Bavario	Germanio	1974	1975	no
esperanto_en_belgio	Esperanto en Belgio	Belgio	1980	1988	no
esperanto_en_indonezio	Esperanto en Indonezio	Indonesio			no
esperanto_en_marche_l_au_esperanto_en_marche	Esperanto en Marche, L’ aŭ Esperanto en Marche	Belgio	1969	2006	no
esperanto_fervojisto	Esperanto-Fervojisto	Francio	1966	2007	no
esperanto_ief	L’ Esperanto (IEF)	Italio	1906	2006	no
esperanto_ile_de_france	Espéranto Íle-de-France	Francio	1957	2000	no
esperanto_info_fr	Esperanto-info (FR)	Francio	2005	2009	no
esperanto_info_kea	Esperanto*Info (KEA)	Hispanio	1980	1983	no
esperanto_informilo_berlino_brandenburgio	Esperanto-Informilo Berlino-Brandenburgio	Germanio			no
esperanto_jezyk_miedzynarodowy	Esperanto Jezyk Miedzynarodowy	Pollando			no
esperanto_kibosha	Esperanto-Kiboŝa	Japanio	1930	1933	no
esperanto_kurier	Esperanto-Kurier	Germanio	1950	1953	no
esperanto_noticias_bel	Esperanto Notícias (BEL)	Brazilo	1979	1985	no
esperanto_noticias_chilio	Esperanto Noticias (Ĉilio)	Ĉilio			no
esperanto_novajhoj_esperanto_niews	Esperanto-Novaĵoj-Esperanto Niews	Belgio	1965	1986	no
esperanto_nytt	Esperanto-Nytt	Norvegio	1959	1997	no
esperanto_panorama	Esperanto Panorama	Belgio	1970	1990	yes
esperanto_panoramo	Esperanto-Panoramo	Germanio	1970	1973	no
esperanto_por_un	Esperanto Por UN	Usono			no
