source	words	recognisable_pct	single_char_pct
pg-28968.txt	32717	86.8	1.4
pg-28971.txt	5197	55.4	2.5
pg-29403.txt	14087	63.0	3.8
pg-30536.txt	29144	86.1	1.2
pg-30991.txt	15203	59.5	2.8
pg-30992.txt	15571	60.4	3.1
pg-31348.txt	37976	81.2	0.4
pg-32035.txt	39871	80.2	1.6
pg-32313.txt	14610	56.7	3.8
pg-32314.txt	15462	56.9	3.6
pg-32480.txt	33705	80.1	0.6
pg-34042.txt	14683	62.8	2.7
pg-34043.txt	15371	63.1	2.9
pg-35743.txt	16095	73.0	1.5
pg-35917.txt	22808	76.4	1.1
pg-35981.txt	8997	72.6	1.8
pg-37279.txt	33972	81.7	1.2
pg-37642.txt	15085	68.0	4.8
pg-37643.txt	15088	59.6	3.6
pg-37644.txt	14722	60.7	3.9
pg-37977.txt	15222	63.6	3.3
pg-37978.txt	14534	65.0	3.5
pg-39840.txt	15517	68.1	2.9
pg-39841.txt	14627	73.2	2.8
pg-39842.txt	14258	72.6	2.8
pg-42028.txt	27730	88.9	1.5
pg-42774.txt	6760	63.8	3.7
pg-44128.txt	15347	75.4	2.8
pg-44130.txt	15070	77.4	2.4
pg-44131.txt	14810	76.0	2.7
pg-44666.txt	15079	76.6	2.7
pg-44667.txt	14965	78.4	2.3
pg-44668.txt	14907	69.8	3.0
pg-45612.txt	18001	85.7	1.0
pg-45713.txt	36460	88.2	1.5
pg-47249.txt	20349	85.8	7.2
pg-47259.txt	44826	88.2	2.7
pg-47855.txt	20973	87.0	5.8
pg-47913.txt	19669	83.2	2.0
pg-48033.txt	27365	88.2	2.3
pg-48896.txt	6494	63.6	3.7
pg-48900.txt	14217	80.2	1.8
pg-49232.txt	15114	70.6	2.6
pg-49233.txt	14317	79.4	2.6
pg-49234.txt	13089	72.3	3.7
pg-51069.txt	66015	92.0	0.7
pg-51690.txt	15270	79.4	5.4
pg-52062.txt	14404	81.4	2.3
pg-52063.txt	15858	82.8	2.1
pg-52064.txt	21007	85.7	2.0
pg-52111.txt	16616	84.3	1.7
pg-52556.txt	14507	54.9	5.1
pg-52577.txt	28092	88.4	1.7
pg-52876.txt	11172	73.5	2.9
pg-55302.txt	105267	93.3	1.5
pg-55574.txt	32876	89.7	2.8
pg-55954.txt	84842	94.7	0.7
pg-56351.txt	6742	65.2	2.2
pg-57184.txt	71197	93.4	2.0
pg-60429.txt	22097	84.8	5.9
pg-61103.txt	24782	88.8	1.8
pg-61190.txt	8400	72.2	1.7
pg-61579.txt	10921	78.6	1.4
pg-61581.txt	6059	62.2	2.1
pg-61860.txt	78185	95.8	0.8
pg-62118.txt	21206	86.1	1.5
pg-62394.txt	12405	77.8	1.7
pg-62511.txt	22612	87.1	1.2
pg-63064.txt	13100	80.0	1.8
pg-63105.txt	18268	84.2	1.4
pg-63926.txt	24524	88.3	1.1
pg-64579.txt	146090	96.3	0.7
pg-65835.txt	66068	92.7	1.6
pg-65958.txt	44291	91.4	1.0
pg-66037.txt	21775	85.6	1.3
pg-68874.txt	18582	84.6	1.2
pg-68878.txt	36718	92.3	2.3
pg-68879.txt	22220	86.6	1.2
pg-69123.txt	46336	92.4	1.2
pg-71836.txt	17697	84.0	2.2
pg-74344.txt	8032	70.0	2.6
pg-74405.txt	16242	82.7	1.5
pg-75983.txt	8676	70.8	4.4
pg-76273.txt	8515	71.7	1.8
pg-76310.txt	3938	41.7	3.7
pg-7787.txt	83561	50.3	9.4
pg-78054.txt	6971	65.3	1.9
pg-8177.txt	46576	52.8	3.4
pg-8224.txt	124984	84.9	1.1
wsdump-Bulthuis_Inferio_1938.txt	42272	98.8	0.3
wsdump-Defoe_Robinsono_Kruso_1908_Krafft.txt	20011	98.0	0.2
wsdump-Grabowski_El_Parnaso_de_Popoloj_1913.txt	21726	91.0	3.2
wsdump-Homero_Iliado_1896_Kofman.txt	29534	93.7	1.7
wsdump-Kabe_Vortaro_de_Esperanto_1922.txt	95570	97.4	1.2
wsdump-Lanti_El_verkoj_de_E_Lanti_1982_II.txt	36940	96.6	2.4
wsdump-Lanti_El_verkoj_de_E_Lanti_1985_III.txt	39867	96.5	1.9
wsdump-Lanti_El_verkoj_de_E_Lanti_1991_I.txt	45964	97.5	1.9
wsdump-Lanti_Naciismo_1930.txt	22897	97.8	1.2
wsdump-Luyken_Mirinda_amo_1913.txt	88605	97.4	0.7
wsdump-Molière_Don_Juan_1906_Boirac.txt	17024	97.0	1.0
wsdump-Orzeszko_Marta_1928_Zamenhof.txt	74979	98.4	0.7
wsdump-Prus_Pekoj_de_l_infaneco_1913_Grabowski.txt	17920	97.0	0.7
wsdump-Prévost_Manon_Lescaut_1908_Vallienne.txt	55348	98.9	1.0
wsdump-Rossetti_Cezaro_Kredu_min_Sinjorino_1950.txt	69618	96.9	1.0
wsdump-Sienkiewikz_Quo_vadis_1934_Zamenhof_I.txt	98752	96.0	0.4
wsdump-Sienkiewikz_Quo_vadis_1934_Zamenhof_II.txt	94046	96.3	0.4
wsdump-Vallienne_Kastelo_de_Prelongo_1907.txt	143544	97.6	0.5
wsdump-Vallienne_Ĉu_li_1908.txt	123926	97.5	0.7
wsdump-Verkoj_de_FeZ_1935.txt	39012	96.3	1.9
wsdump-Voltaire_Tri_Verkoj_de_Volter_1956_Lanti.txt	76309	96.7	0.8
wsdump-Zakrzewski_Historio_de_Esperanto_1913.txt	27624	91.4	4.1
wsdump-Zamenhof_Dietterle_Originala_Verkaro_1929.txt	235594	97.1	1.9
wsrc-Dua_Libro_de_l'_Lingvo_Internacia_Antaŭparolo.txt	1798	98.8	49.2
wsrc-Dua_Libro_de_l'_Lingvo_Internacia_I.txt	1210	98.7	3.1
wsrc-Dua_Libro_de_l'_Lingvo_Internacia_II.txt	800	98.4	2.5
wsrc-Dua_Libro_de_l'_Lingvo_Internacia_III.txt	8936	99.2	19.4
wsrc-Fabeloj_de_Andersen_(Zamenhof).txt	172	89.5	4.7
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Abio.txt	3055	97.5	0.9
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Anĝelo.txt	908	97.5	0.6
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Avineto.txt	681	98.4	1.3
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Bildo_el_kastelremparo.txt	303	94.4	1.7
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Cikonioj.txt	1653	98.4	0.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Dano_Holger.txt	1732	96.0	0.4
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Dio_de_Dormo.txt	3847	97.7	0.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_El_fenestro_en_Vartou.txt	533	96.1	0.8
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Elfo_de_la_rozo.txt	1842	98.9	0.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Elinjo-Fingreto.txt	4083	98.9	0.6
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Fajrilo.txt	2658	98.9	0.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Feliĉa_familio.txt	1283	97.8	0.8
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Flikilo.txt	1117	97.9	1.1
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Floroj_de_la_malgranda_Ida.txt	2838	98.7	1.0
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Fluganta_Kofro.txt	1970	98.7	1.0
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Galoŝoj_de_feliĉo.txt	9474	98.4	0.3
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Gefianĉoj.txt	845	98.2	1.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Guto_da_akvo.txt	564	96.6	0.9
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Knabineto_kun_alumetoj.txt	957	98.3	0.9
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Konkurso_de_Saltado.txt	711	96.9	1.3
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Kupra_porko.txt	4100	97.3	0.4
wsrc-Fabeloj_de_Andersen_(Zamenhof)_La_malbela_anasido.txt	3468	98.7	1.0
wsrc-Fabeloj_de_Andersen_(Zamenhof)_La_najtingalo.txt	3538	99.0	0.7
wsrc-Fabeloj_de_Andersen_(Zamenhof)_La_novaj_vestoj_de_la_Reĝo.txt	1544	99.1	1.0
wsrc-Fabeloj_de_Andersen_(Zamenhof)_La_virineto_de_maro.txt	8824	99.2	0.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Lekanto.txt	1488	98.1	0.8
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Ligo_de_Amikeco.txt	3378	98.1	0.4
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malbonkonduta_knabo.txt	761	98.6	0.7
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malgranda_Niko_kaj_granda_Niko.txt	4315	98.7	0.3
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malgranda_Tuk.txt	1444	96.5	1.2
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malnova_domo.txt	2945	98.1	0.5
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malnova_strata_lanterno.txt	2501	98.7	0.6
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Monteto_de_elfoj.txt	2150	97.4	0.7
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Najbaraj_familioj.txt	3657	98.6	0.8
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Neĝa_Reĝino.txt	11568	97.3	0.6
